"SG    ","LSEOPS1                         ","LSEOPRODSTRUCT                  ","CONFQTY                         ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","LSEOSWPRODSTRUCT                ","SWCONFQTY                       ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","WWSEOSWPRODSTRUCT               ","SWCONFQTY                       ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","WARR                            ","COMNAME                         ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","WARR                            ","COUNTRYLIST                     ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","WARR                            ","GENAREASELECTION                ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","WARR                            ","PDHDOMAIN                       ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","WARR                            ","PUBFROM                         ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","WARR                            ","PUBTO                           ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","WARR                            ","WARRPRIOD                       ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","WARR                            ","WARRTYPE                        ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","WARR                            ","WARRPERIOD                      ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","AVAIL                           ","AASVIEWABL                      ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","AVAIL                           ","ANNCODENAME                     ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","AVAIL                           ","COMNAME                         ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","AVAIL                           ","COUNTRYLIST                     ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","AVAIL                           ","GENAREASELECTION                ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","AVAIL                           ","ORDERSYSNAME                    ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","AVAIL                           ","PDHDOMAIN                       ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","AVAIL                           ","EFFECTIVEDATE                   ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
